Plot;Exploratory;Productivity
AEG01;A;118.94375
AEG02;A;110.63575
AEG03;A;60.82942386
AEG04;A;57.83095672
AEG05;A;51.36333545
AEG06;A;51.25133283
AEG07;A;5.452569231
AEG08;A;15.17185185
AEG09;A;9.243559322
AEG10;A;30.285
AEG11;A;98.9115
AEG12;A;114.8125
AEG13;A;112.7125
AEG14;A;103.875
AEG15;A;123.50625
AEG16;A;74.07153712
AEG17;A;50.05625
AEG18;A;117.59375
AEG19;A;34.33165666
AEG20;A;27.36285616
AEG21;A;132.3376293
AEG22;A;24.45028926
AEG23;A;64.152
AEG24;A;140.7973453
AEG25;A;9.130525839
AEG26;A;45.4902
AEG27;A;22.72314027
AEG28;A;17.11290837
AEG29;A;36.41491856
AEG30;A;53.05125547
AEG31;A;33.82811126
AEG32;A;10.35106311
AEG33;A;28.19243208
AEG34;A;30.54818182
AEG35;A;83.40625
AEG36;A;82.50927282
AEG37;A;116.2193206
AEG38;A;60.0375
AEG39;A;118.84375
AEG40;A;69.014
AEG41;A;84.62525
AEG42;A;67.43645669
AEG43;A;37.0874
AEG44;A;59.28155172
AEG45;A;113.95625
AEG46;A;40.99364706
AEG47;A;9.306171875
AEG48;A;8.712046875
AEG49;A;23.45113514
AEG50;A;86.125
HEG01;H;98.85474426
HEG02;H;73.02873754
HEG03;H;80.42873754
HEG04;H;119.5355534
HEG05;H;90.4014386
HEG06;H;98.82718905
HEG07;H;57.20452118
HEG08;H;22.50619103
HEG09;H;9.7608
HEG10;H;26.65534665
HEG11;H;25.57839531
HEG12;H;156.0846
HEG13;H;60.12889714
HEG14;H;58.45231724
HEG15;H;32.95796018
HEG16;H;25.91209356
HEG17;H;24.65537092
HEG18;H;11.12758524
HEG19;H;24.65537092
HEG20;H;21.32513082
HEG21;H;10.40059147
HEG22;H;99.84249978
HEG23;H;45.30520563
HEG24;H;114.4187138
HEG25;H;37.11708808
HEG26;H;19.9325
HEG27;H;69.752
HEG28;H;29.03266667
HEG29;H;42.95566169
HEG30;H;66.1
HEG31;H;35.03556864
HEG32;H;66.64031708
HEG33;H;82.54752162
HEG34;H;59.16718905
HEG35;H;56.93372626
HEG36;H;66.36161121
HEG37;H;55.15161121
HEG38;H;70.81983341
HEG39;H;31.2276988
HEG40;H;61.54808624
HEG41;H;21.32513082
HEG42;H;24.65537092
HEG43;H;14.95556507
HEG44;H;9.786616291
HEG45;H;11.74618667
HEG46;H;32.29567667
HEG47;H;54.52989791
HEG48;H;33.55646111
HEG49;H;46.94416216
HEG50;H;24.99653235
SEG01;S;90.04375
SEG02;S;77.3596942
SEG03;S;91.378
SEG04;S;33.65646841
SEG05;S;70.37135088
SEG06;S;50.23688023
SEG07;S;74.26598422
SEG08;S;66.24381424
SEG09;S;61.8126247
SEG10;S;56.130475
SEG11;S;64.262475
SEG12;S;95.29375
SEG13;S;89.59093085
SEG14;S;33.80825455
SEG15;S;101.3650534
SEG16;S;82.3427179
SEG17;S;41.31441164
SEG18;S;94.15
SEG19;S;42.91012822
SEG20;S;43.55195938
SEG21;S;47.87074763
SEG22;S;100.5840028
SEG23;S;75.79375
SEG24;S;26.21775
SEG25;S;47.707
SEG26;S;53.1335
SEG27;S;24.6125
SEG28;S;59.112
SEG29;S;38.68
SEG30;S;95.106
SEG31;S;67.7655
SEG32;S;86.35
SEG33;S;50.8382642
SEG34;S;28.27238572
SEG35;S;39.0504233
SEG36;S;52.84874085
SEG37;S;60.25119555
SEG38;S;53.10303122
SEG39;S;29.50642745
SEG40;S;81.32113525
SEG41;S;47.65998357
SEG42;S;133.8690551
SEG43;S;72.3550989
SEG44;S;38.32395282
SEG45;S;36.91865505
SEG46;S;84.85966763
SEG47;S;72.18216906
SEG48;S;47.34329474
SEG49;S;51.07433333
SEG50;S;26.32108115